Category,Is Hashtag,Text,Quote,Retweet Count,Favorite Count,Is Reply
music,FALSE,"""RT @BTS_Billboard: “Boy With Luv” has received its 8th win on KBS Music Bank ________________

Congratulations @BTS_twt &amp; ARMY ______

Please keep buy…""",FALSE,1511,0,FALSE
music,FALSE,"""@ds_dsdn961 ______21_______________""",FALSE,0,0,TRUE
music,FALSE,"""Fantasia Shares New Song ""Enough"" &amp; Dances In The Rain In Music Video | iHeartRadio https://t.co/LJO63Tc1g4""",FALSE,0,0,FALSE
music,FALSE,"""RT @ll22_O92O: ___ 2019.05.03

Ultra Music Power_Sexy Zone / HiHi Jets__ __ https://t.co/iXeBMxS31k""",FALSE,51,0,FALSE
music,FALSE,"""RT @sorayaxyoongi: Congrats to @BTS_twt  for their 8th win for ‘Boy With Luv’ &amp; achieving a Triple Crown at KBS Music Bank today

Show Cham…""",FALSE,81,0,FALSE
music,FALSE,"""RT @bangtan_fancafe: 190503 Music Bank
Congratulations to 'Boy With Luv' for winning first place____
https://t.co/2XgL5LGMdm""",FALSE,1208,0,FALSE
music,FALSE,"""RT @statsBOM: [__] Unfortunately, we didn’t reach the goal for ‘4:44 (feat. Wheein of MAMAMOO)’ on YouTube but don’t let it discourage you.…""",FALSE,22,0,FALSE
music,FALSE,"""RT @BTS_National: 190503 __ 'Boy With Luv' wins #1 on Music Bank today! Congratulations BTS &amp; ARMYs!!
#BoyWithLuv8ThWin #_____ #BTS @BTS_twt…""",FALSE,1314,0,FALSE
music,FALSE,"""RT @nochubunnies: omg today's music bank #1 candidates are bts and twice hhh 
https://t.co/dghvRzQSnp""",FALSE,156,0,FALSE
music,FALSE,"""RT @jamesgraham2: I've plugged this before, but here goes again... I made it 5 years ago and it still gets me - the mix of emotion and musi…""",FALSE,3,0,FALSE
music,TRUE,"""so true, i’d rather have sana smiling than to win @music shows #WeLoveYou3000Sana #WeLoveYou3000Sana https://t.co/Ad8xfC57OY""",TRUE,0,1,FALSE
music,TRUE,"""RT @YesHappy_info: 5/15(_)______________Music Club JANUS
__18:30 / __19:00
__2,500_ / __3,000_(_1D__)

__
Yes Happy! / _______ / and more..…""",FALSE,2,0,FALSE
music,TRUE,"""5/15(_)______________Music Club JANUS
__18:30 / __19:00
__2,500_ / __3,000_(_1D__)

__
Yes Happy! / _______ / and m… https://t.co/TXwokvvQt6""",FALSE,2,3,FALSE
music,TRUE,"""@music @Mp3Nobs @UpcomIngArtlsts @BenjaminEnfield feel the spirit https://t.co/93lNUc2fhq""",FALSE,0,0,FALSE
music,TRUE,"""RT @TatsuyaK_M6: __13:10_____FM_________________________

_____________________________Live_________

__5/3(_)@Music shop____
______Live_
&lt;…""",FALSE,4,0,FALSE
music,TRUE,"""RT @TatsuyaK_M6: __13:10_____FM_________________________

_____________________________Live_________

__5/3(_)@Music shop____
______Live_
&lt;…""",FALSE,4,0,FALSE
music,TRUE,"""RT @TatsuyaK_M6: __13:10_____FM_________________________

_____________________________Live_________

__5/3(_)@Music shop____
______Live_
&lt;…""",FALSE,4,0,FALSE
music,TRUE,"""RT @TatsuyaK_M6: __13:10_____FM_________________________

_____________________________Live_________

__5/3(_)@Music shop____
______Live_
&lt;…""",FALSE,4,0,FALSE
music,TRUE,"""__13:10_____FM_________________________

_____________________________Live_________

__5/3(_)@Music shop____
______… https://t.co/tdcheIparV""",FALSE,4,11,FALSE
music,TRUE,"""RT @zjhellen: It's time to pay attention to https://t.co/FNi5JQlc3k @financial @plans, maybe good @investment. @stock @bond @animation @car…""",FALSE,2,0,FALSE
music,TRUE,"""RT @fukuokaongaku: 5_3_(___)___LIVE____20:00___@music bar S.O.Ra Fukuoka(_____)_https://t.co/WKtGOkLo2B _____

________________________http…""",FALSE,1,0,FALSE
music,TRUE,"""5_3_(___)___LIVE____20:00___@music bar S.O.Ra Fukuoka(_____)_https://t.co/WKtGOkLo2B _____

________________________https://t.co/Vu9ZzUgcto""",FALSE,1,1,FALSE
music,TRUE,"""Lettuce w John Scofield at The Capitol Theatre 4/20/19
For NYS Music
@lettucefunk j_scofield1955 @lizziemakers… https://t.co/Fo5G7FJ8NV""",FALSE,0,1,FALSE
music,TRUE,"""#RnB2019 #RNB #RNBMUSIC @RnBass @Music @Mix @HIPHOP @2019 @NEW @RnBass @Banger @Smasher @Charts @Summer @Hits… https://t.co/jvwFi9EkGA""",FALSE,1,1,FALSE
music,TRUE,"""Lettuce w John Scofield at The Capitol Theatre 4/20/19
For NYS Music
@lettucefunk j_scofield1955 @lizziemakers… https://t.co/uSLVBDa5Mi""",FALSE,0,1,FALSE
music,TRUE,"""RT @zjhellen: It's time to pay attention to https://t.co/FNi5JQlc3k @financial @plans, maybe good @investment. @stock @bond @animation @car…""",FALSE,2,0,FALSE
music,TRUE,"""It's time to pay attention to https://t.co/FNi5JQlc3k @financial @plans, maybe good @investment. @stock @bond… https://t.co/jVjnfaUQ5b""",FALSE,2,2,FALSE
